lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-090-090.sir backscat:   -3.605 contrast:  -5.4305
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-091-091.sir backscat:   -3.808 contrast:  -4.0795
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-092-092.sir backscat:   -3.767 contrast:  -4.1875
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-093-093.sir backscat:   -3.980 contrast:  -4.9860
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-094-094.sir backscat:   -3.533 contrast:  -5.7790
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-095-095.sir backscat:   -3.516 contrast:  -4.8140
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-096-096.sir backscat:   -3.519 contrast:  -4.8765
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-097-097.sir backscat:   -3.310 contrast:  -4.8260
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-098-098.sir backscat:   -3.777 contrast:  -4.5855
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-099-099.sir backscat:   -4.248 contrast:  -4.6475
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-100-100.sir backscat:   -4.362 contrast:  -4.8085
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-101-101.sir backscat:   -3.628 contrast:  -4.6470
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-102-102.sir backscat:   -3.160 contrast:  -4.4675
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-104-104.sir backscat:   -3.324 contrast:  -4.4470
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-105-105.sir backscat:   -4.174 contrast:  -4.4065
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-106-106.sir backscat:   -3.664 contrast:  -5.0875
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-107-107.sir backscat:   -3.738 contrast:  -5.1345
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-108-108.sir backscat:   -4.056 contrast:  -5.0185
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-109-109.sir backscat:   -4.114 contrast:  -5.3230
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-110-110.sir backscat:   -4.206 contrast:  -5.3475
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-111-111.sir backscat:   -3.442 contrast:  -5.0980
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-112-112.sir backscat:   -3.856 contrast:  -5.0995
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-113-113.sir backscat:   -3.909 contrast:  -5.4040
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-114-114.sir backscat:   -3.594 contrast:  -4.8335
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-115-115.sir backscat:   -3.401 contrast:  -5.2395
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-116-116.sir backscat:   -4.280 contrast:  -5.8505
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-117-117.sir backscat:   -4.626 contrast:  -6.0905
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-118-118.sir backscat:   -4.544 contrast:  -5.9640
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-119-119.sir backscat:   -3.945 contrast:  -6.1505
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-120-120.sir backscat:   -4.363 contrast:  -5.8575
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-121-121.sir backscat:   -3.913 contrast:  -4.9425
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-122-122.sir backscat:   -4.328 contrast:  -5.6235
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-123-123.sir backscat:   -3.799 contrast:  -5.8060
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-124-124.sir backscat:   -4.064 contrast:  -6.4070
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-125-125.sir backscat:   -4.010 contrast:  -5.8860
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-126-126.sir backscat:   -4.198 contrast:  -5.8990
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-127-127.sir backscat:   -4.762 contrast:  -6.3245
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-128-128.sir backscat:   -4.216 contrast:  -6.2675
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-129-129.sir backscat:   -4.382 contrast:  -6.2485
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-131-131.sir backscat:   -4.804 contrast:  -5.5730
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-132-132.sir backscat:   -4.430 contrast:  -5.9025
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-133-133.sir backscat:   -4.415 contrast:  -5.9130
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-134-134.sir backscat:   -4.119 contrast:  -6.6035
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-135-135.sir backscat:   -3.852 contrast:  -6.0515
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-136-136.sir backscat:   -4.421 contrast:  -6.4245
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-137-137.sir backscat:   -3.884 contrast:  -5.4750
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-139-139.sir backscat:   -4.647 contrast:  -6.2475
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-140-140.sir backscat:   -4.514 contrast:  -6.4305
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-141-141.sir backscat:   -4.111 contrast:  -6.1460
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-142-142.sir backscat:   -5.132 contrast:  -5.4010
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-143-143.sir backscat:   -4.363 contrast:  -6.1175
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-144-144.sir backscat:   -4.263 contrast:  -6.4725
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-145-145.sir backscat:   -3.450 contrast:  -6.0510
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-146-146.sir backscat:   -4.253 contrast:  -6.9180
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-147-147.sir backscat:   -4.804 contrast:  -5.9430
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-148-148.sir backscat:   -3.981 contrast:  -7.4175
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-149-149.sir backscat:   -4.126 contrast:  -7.1270
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-150-150.sir backscat:   -4.767 contrast:  -7.4865
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-151-151.sir backscat:   -4.470 contrast:  -6.9540
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-152-152.sir backscat:   -4.307 contrast:  -6.4030
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-153-153.sir backscat:   -4.457 contrast:  -7.4000
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-154-154.sir backscat:   -4.373 contrast:  -6.6470
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-155-155.sir backscat:   -4.719 contrast:  -7.1705
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-156-156.sir backscat:   -4.690 contrast:  -6.2955
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-157-157.sir backscat:   -4.397 contrast:  -6.9545
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-158-158.sir backscat:   -4.245 contrast:  -6.4995
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-159-159.sir backscat:   -4.846 contrast:  -7.2120
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-160-160.sir backscat:   -3.951 contrast:  -6.8390
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-161-161.sir backscat:   -4.223 contrast:  -7.1535
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-162-162.sir backscat:   -4.316 contrast:  -6.8095
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-163-163.sir backscat:   -5.092 contrast:  -7.1255
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-164-164.sir backscat:   -4.359 contrast:  -6.9075
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-165-165.sir backscat:   -4.831 contrast:  -7.3595
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-166-166.sir backscat:   -4.183 contrast:  -7.3975
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-167-167.sir backscat:   -3.340 contrast:  -7.2710
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-168-168.sir backscat:   -4.262 contrast:  -6.2060
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-169-169.sir backscat:   -4.253 contrast:  -7.0105
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-170-170.sir backscat:   -4.268 contrast:  -6.9240
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-171-171.sir backscat:   -3.774 contrast:  -7.4045
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-172-172.sir backscat:   -4.896 contrast:  -7.1565
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-173-173.sir backscat:   -4.631 contrast:  -7.2880
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-174-174.sir backscat:   -5.513 contrast:  -7.5710
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-175-175.sir backscat:   -4.199 contrast:  -7.2915
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-176-176.sir backscat:   -4.303 contrast:  -7.5990
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-178-178.sir backscat:   -4.707 contrast:  -7.2405
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-179-179.sir backscat:   -5.034 contrast:  -7.5035
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-180-180.sir backscat:   -4.801 contrast:  -7.7475
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-181-181.sir backscat:   -5.114 contrast:  -7.7465
lat:  -65.6291 lon:  115.5827 x: 3019 y: 1413 file:  qush-a-Ant06-182-182.sir backscat:   -4.338 contrast:  -6.9455
